model,epoch,train_loss,val_loss,train_RMSE,val_RMSE,train_MAE,val_MAE,val_R2,scenario,base_model
all_eligible__LSTM,1,0.0005794465586235273,0.001793409234914987,0.03404251986682486,0.06450723374461713,0.02618290659659779,0.046088778555093184,0.8792932734701684,all_eligible,LSTM
all_eligible__LSTM,2,0.000311700491554309,0.0013269822719903825,0.024968000428402578,0.058728622240485716,0.016595881928046535,0.03585618102643846,0.8999506525481866,all_eligible,LSTM
all_eligible__LSTM,3,0.0002450047359778151,0.0012411293009180425,0.022136158850407546,0.05706288403104466,0.011585790478975623,0.03136818276914107,0.9055456267291411,all_eligible,LSTM
all_eligible__LSTM,4,0.00022953028457191915,0.0012306113834430357,0.021425700025498904,0.056834058792985476,0.011260142062999844,0.030365318634132676,0.9063016420998008,all_eligible,LSTM
all_eligible__LSTM,5,0.00021940793830238408,0.0012299471445068075,0.020947933733696442,0.05691488595037677,0.010183470720036539,0.03043394575428875,0.9060349443710896,all_eligible,LSTM
all_eligible__LSTM,6,0.00021390025765374618,0.00123264386331125,0.020683340323171415,0.057095154981578314,0.009779495999544575,0.030398387471276433,0.9054387623682104,all_eligible,LSTM
all_eligible__LSTM,7,0.00020627647664711685,0.0012449670430133223,0.02031140082123456,0.05735258093860479,0.00913935398852642,0.03007482919358633,0.9045841401546022,all_eligible,LSTM
all_eligible__LSTM,8,0.00020682320757907168,0.0012398845104915268,0.02033830070734226,0.05743395959881242,0.009550028946743963,0.030373928354432176,0.9043131733199518,all_eligible,LSTM
all_eligible__LSTM,9,0.0002001163118589922,0.0012736459781199077,0.02000581595644121,0.05812171178488192,0.009047036547059888,0.03227275253275629,0.9020078179565248,all_eligible,LSTM
all_eligible__LSTM,10,0.0002012924135561985,0.0012416439945418887,0.02006451790273633,0.05770349128863315,0.009389323140598115,0.031575896686059673,0.9034129690273469,all_eligible,LSTM
all_eligible__LSTM,11,0.00019501354293779359,0.001260828694158861,0.019749104596405092,0.05774378436958371,0.009099458093198521,0.030035178936180348,0.9032780327263975,all_eligible,LSTM
all_eligible__LSTM,12,0.00019835306406001387,0.0012471628369752033,0.01991748447894906,0.05788192219591533,0.009080194481165085,0.03140580188222562,0.9028147120807329,all_eligible,LSTM
all_eligible__CNN_LSTM,1,0.0014285680510387835,0.003708468187314935,0.05345218512650592,0.08699726039639831,0.04310849807185705,0.06564937290929308,0.7804538687421626,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,2,0.0004659322197983136,0.0036056531698420075,0.03052645546512352,0.08639971735252747,0.020964939458990247,0.06538377210697871,0.7834594284085725,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,3,0.00031112899566740115,0.0023296426233452155,0.02494510051676125,0.071883446324665,0.016580829353434808,0.05073332236850555,0.8501100840070828,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,4,0.00029258410913980237,0.001989301492671547,0.02419025138642007,0.06726161103376133,0.016121694271579005,0.04620355725521742,0.8687651540463686,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,5,0.0002292285858795552,0.0019693804010998883,0.02141161400557275,0.06735381651537087,0.012776189643526607,0.04671495111963359,0.8684051012312521,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,6,0.00020996286307848296,0.0019463623364214312,0.020492090357749165,0.06705063282894996,0.011824681101982497,0.0457897071103655,0.869587146504077,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,7,0.00020605264926108264,0.001901113781523297,0.02030037764154552,0.06648395489409897,0.012222933249500722,0.04478246657140303,0.8717821979724807,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,8,0.00019576082201437804,0.0018455614485586233,0.01978690690589283,0.06599303153592083,0.011800935890494009,0.04426026304462879,0.8736687499360768,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,9,0.00019057953490488925,0.0018140714437444537,0.01952329647878257,0.06583170512062471,0.012475656874288442,0.044041580795175006,0.8742856531482529,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,10,0.00016607471541462118,0.001719849798916912,0.018224968230867594,0.0645470365292549,0.010421514995514526,0.04288867144476647,0.8791442685971849,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,11,0.00015048062247796363,0.001857006731203505,0.017348235372685445,0.06630732640736206,0.009065924817104271,0.044610968043806834,0.8724625676422313,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,12,0.00017286612804174044,0.0016544518265815898,0.018593877415142658,0.06346463177563512,0.012073482386767864,0.041346864329788506,0.8831636006254244,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,13,0.00015163385423721146,0.001740691843570233,0.01741458369406065,0.06456636052855304,0.010898377359607967,0.04255783865749169,0.8790718945338302,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,14,0.000144701834469126,0.0017486616017992798,0.01701186915023943,0.06467815102846773,0.010613292311633922,0.04280137368529968,0.8786527810404141,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,15,0.00013048306005904292,0.0018237531190358886,0.016154446243140837,0.06547939176604171,0.008850180152290643,0.04353338211474802,0.8756276304497072,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,16,0.0001280747733983582,0.0018550578543345467,0.016004673219556925,0.06574521798119778,0.008865974020702229,0.043702702217587416,0.8746157534297353,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,17,0.0001558329255450359,0.001652625810198165,0.017654060983851434,0.06325968829015845,0.01072719183324252,0.041416639255430605,0.8839169713209029,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,18,0.00012241680568707633,0.0016358738176663191,0.01564716028570774,0.06299691996447151,0.00832117956834135,0.04143845808069311,0.884879340636683,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,19,0.00011728018407820392,0.001676103463945952,0.015315364298248604,0.06348936794886775,0.00865369143114441,0.041785853227779626,0.8830725058358293,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,20,0.0001190775458827236,0.0015991352392012623,0.01543227482492657,0.062391890834692286,0.009207222991528274,0.040638462767438335,0.8870799841884519,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,21,0.00011262536775005065,0.0015693305473580906,0.015008355880112347,0.062011271371731375,0.008701652283504037,0.04018049302450496,0.8884535107026621,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,22,0.00011102501174703367,0.0016041784983501254,0.014901343622738055,0.062137410664092535,0.008442071618184731,0.04028349516650774,0.8879992479386551,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,23,0.0001052419243255133,0.0015388911766947041,0.014508061595893632,0.06145323696869623,0.007977333592677141,0.0394553081622093,0.8904520732329367,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,24,0.00010491586134915035,0.0015583946499155763,0.01448556991935906,0.06172570933888262,0.007836976523167786,0.03992591852518069,0.8894784888704761,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,25,0.00010501364035377973,0.001446086463442393,0.014492318323276365,0.060265477549833545,0.008280625845546345,0.03815393404122566,0.8946458033211189,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,26,9.71895871339642e-05,0.0014324778216548255,0.01394199358202129,0.0602586567392132,0.007559739295945708,0.038094820538889906,0.8946696498212182,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,27,0.00010010026497924226,0.0013881884777675732,0.014149224205156187,0.059691949607168115,0.008064757025271844,0.03733353799571526,0.8966415083867874,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,28,9.615908924912465e-05,0.0013705707034455525,0.013867883397420778,0.05947744738194272,0.007905671675393548,0.03699022541301828,0.8973830084271551,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,29,9.215392344493135e-05,0.0014220931192482896,0.013576002898298004,0.06011388785173035,0.00760104805744111,0.038206404145031965,0.8951751453443072,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,30,9.186470696615782e-05,0.00139434280325044,0.013554682804195365,0.05992453855286957,0.007527599294701496,0.03796997343833814,0.895834468957956,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,31,9.188887291865115e-05,0.0014216998392524369,0.0135564655795513,0.06050094939831724,0.00760645874192883,0.03851472247200258,0.8938209060902637,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,32,9.034491591530425e-05,0.0014149987319681243,0.01344209232011703,0.06028842002208076,0.007484969644515254,0.038016826422755876,0.8945655734478296,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,33,9.086097652779228e-05,0.001490865146633971,0.01348042891685954,0.0610953183995126,0.007614365229836933,0.039284694796715605,0.8917244246037155,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,34,8.628609929612633e-05,0.0015207524313065339,0.0131366739125305,0.061321934064295404,0.007348183861892212,0.039494057395755906,0.8909197001653613,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,35,9.12714142833789e-05,0.0014562144024809092,0.013510841338342431,0.060437288468311264,0.007810088699551346,0.03842997059009352,0.8940442382421901,all_eligible,CNN_LSTM
all_eligible__CNN_LSTM,36,8.422059730391839e-05,0.001386510739084729,0.01297848988314797,0.05974129251752367,0.007436767468126333,0.037547676934458526,0.8964705601527505,all_eligible,CNN_LSTM
clean_benchmark__LSTM,1,0.0009683270976673944,0.0010648068324611573,0.04400743427627268,0.046147736900480206,0.033758036425693874,0.03811727495584296,0.5235717367094307,clean_benchmark,LSTM
clean_benchmark__LSTM,2,0.0005488911555280763,0.0008443750218478041,0.033132799284038124,0.04109440352049285,0.02464139318186129,0.032965945114037054,0.6221999042359163,clean_benchmark,LSTM
clean_benchmark__LSTM,3,0.0002616412014162155,0.00035287744230027873,0.02287536855682379,0.026566047141251572,0.014019829921213025,0.018280016278827582,0.8421114707023937,clean_benchmark,LSTM
clean_benchmark__LSTM,4,0.00023123564661797533,0.0002794323432354782,0.021505147539416472,0.023640318263359005,0.01221632290010651,0.015301145817879792,0.8749731355786206,clean_benchmark,LSTM
clean_benchmark__LSTM,5,0.0002123847092313573,0.00028071677842733515,0.020609936366869083,0.023694588470045158,0.011157445375087624,0.015581082293402144,0.874398437556094,clean_benchmark,LSTM
clean_benchmark__LSTM,6,0.00019554472185757195,0.00025569513790230965,0.0197759835742185,0.022613939688553904,0.010438456609580956,0.014736818620464304,0.8855939054138855,clean_benchmark,LSTM
clean_benchmark__LSTM,7,0.00019046773346378766,0.00025213000768857014,0.019517569970572628,0.022455734245177005,0.010119888723451407,0.014525818123376413,0.8871890591291889,clean_benchmark,LSTM
